127.0.0.1 - - [21/May/2021:23:07:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:19 +0900] "GET /spring/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:25 +0900] "GET /spring/login.action HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:26 +0900] "GET /spring/resources/images/adver/coupeat_01.jpg HTTP/1.1" 200 107496
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/signUp.action HTTP/1.1" 200 7431
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/css/jquery-ui.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/css/bootstrap.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/js/jquery-1.12.4.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/js/bootstrap.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/js/jquery-ui.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/js/jquery-1.12.4.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/css/jquery-ui.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/css/bootstrap.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/js/jquery-ui.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/May/2021:23:07:28 +0900] "GET /spring/js/bootstrap.js HTTP/1.1" 404 837
